entity_id;entity_name;sector;country;value
05TJ7D-E;GUYOUNG TECHNOLOGY CO LTD;Automotive;South Korea;
05L2HM-E;Halla Holdings Corporation;Automotive;South Korea;
05ZSGP-E;S & T Motiv Co Ltd;Automotive;South Korea;
062ZXN-E;Orient Precision Industries Inc;Automotive;South Korea;
064TC3-E;Woosu Ams Co Ltd;Automotive;South Korea;
090XVT-E;NVH Korea Inc;Automotive;South Korea;
07MQH5-E;A-Tech Solution Co Ltd;Automotive;South Korea;
09CNFW-E;CASTEC KOREA Co Ltd;Automotive;South Korea;
064TC0-E;WOORY INDUSTRIAL HOLDINGS Co Ltd;Automotive;South Korea;
0633BW-E;ESMO Corporation;Automotive;South Korea;
068TNT-E;Saeron Automotive Corporation;Automotive;South Korea;
07D7F8-E;Dual Industrial Co Ltd;Automotive;South Korea;
07CYTL-E;Sungchang Autotech Co Ltd;Automotive;South Korea;
06HLK1-E;Hwashin Tech Co Ltd;Automotive;South Korea;
06GTYV-E;Pyung Hwa Industrial Co Ltd;Automotive;South Korea;
06SX5F-E;Kwangjin Wintec Co Ltd;Automotive;South Korea;
06YR87-E;DAE-IL Corp;Automotive;South Korea;
06SG7Z-E;PungKang Co Ltd;Automotive;South Korea;
07MS0Q-E;Daesung Fine Tec Co Ltd;Automotive;South Korea;
0087WT-E;Zhejiang Shibao Co Ltd Class H;Automotive;China;
090V9V-E;HanJung Natural Connectivity System Co Ltd;Automotive;South Korea;
09CND7-E;Dgenx Co Ltd;Automotive;South Korea;
0D0TM3-E;Xinchen China Power Holdings Ltd;Automotive;Hong Kong;
06K29G-E;Sun Machinery CoLTD;Automotive;South Korea;
0FTGGQ-E;MOTREX CO LTD;Automotive;South Korea;
090VY9-E;MS Autotech Co Ltd;Automotive;South Korea;
0CHK33-E;Korea Fuel-Tech Corporation;Automotive;South Korea;
09SGKD-E;SJM Co Ltd;Automotive;South Korea;
0BW40G-E;Shuanghua Holdings Ltd;Automotive;China;
0C6NX2-E;China First Capital Group Ltd;Automotive;Hong Kong;
0D6P94-E;Nexteer Automotive Group Limited;Automotive;United States;
05J11S-E;Tong Yang Industry Co Ltd;Automotive;Taiwan;
0B4JV2-E;Hiroca Holdings Ltd;Automotive;China;
0BP5DM-E;YCC Parts Mfg Co Ltd;Automotive;Taiwan;
090W6X-E;Hwajin Co Ltd;Automotive;South Korea;
0C54YR-E;Hands Corp Ltd;Automotive;South Korea;
05JFWM-E;Right Way Industrial Co Ltd;Automotive;Taiwan;
05JDD3-E;Jui Li Enterprise Co Ltd;Automotive;Taiwan;
05YPWS-E;Ta Yih Industrial Co Ltd;Automotive;Taiwan;
05J1C0-E;TYC Brother Industrial Co Ltd;Automotive;Taiwan;
0625WR-E;Kian Shen Corporation;Automotive;Taiwan;
06SGCQ-E;SuperAlloy Industrial Co Ltd;Automotive;Taiwan;
06SR5F-E;Tsang Yow Industrial Co Ltd;Automotive;Taiwan;
0GLJSP-E;Xin Point Holdings Limited;Automotive;China;
0J4LM1-E;Intron Technology Holdings Ltd;Automotive;Hong Kong;
008V36-E;Xingda International Holdings Ltd;Automotive;China;
05J60F-E;Weifu High-Technology Group Co Ltd Class B;Automotive;China;
0DVBD9-E;Seoyon E-Hwa Co Ltd;Automotive;South Korea;
0HCPHF-E;Ruifeng Power Group Co Ltd;Automotive;China;
0DXT0W-E;Mando Corp;Automotive;South Korea;
0DJ043-E;Lu Hai Holding Corp;Automotive;Taiwan;
0FSKJ9-E;NEOOTO Co Ltd;Automotive;South Korea;
09CRKK-E;Kumho HT Inc;Automotive;South Korea;
09GBJN-E;Iron Force Industrial Co Ltd;Automotive;Taiwan;
07DWYR-E;CTI Traffic Industries Co Ltd;Automotive;Taiwan;
06ZV6R-E;CUB Elecparts Inc;Automotive;Taiwan;
0FR7KH-E;Cayman Engley Industrial Co Ltd;Automotive;Taiwan;
090WCC-E;Sewon Co Ltd;Automotive;South Korea;
0G81D7-E;UNITEKNO Co Ltd;Automotive;South Korea;
0GQRVX-E;SG CO LTD;Automotive;South Korea;
0DYF8S-E;Younghwa Tech Co Ltd;Automotive;South Korea;
0H0ZZ7-E;Hyundai Electric & Energy Systems Co Ltd;Automotive;South Korea;
0FZXCF-E;Huajin International Holdings Ltd;Automotive;Hong Kong;
09XD9G-E;Ningbo Shuanglin Auto Parts Co Ltd Class A;Automotive;China;
0BFYQN-E;Guangdong Paisheng Intelligent Technology Co Ltd Class A;Automotive;China;
0BVPP4-E;Shandong Meichen Ecology & Environment Co Ltd Class A;Automotive;China;
08MFN0-E;Jiangsu Pacific Precision Forging Co Ltd Class A;Automotive;China;
0BWHC7-E;Tianjin Pengling Group Co Ltd Class A;Automotive;China;
08MFHM-E;Kangyue Technology Co Ltd Class A;Automotive;China;
08M9HZ-E;Mianyang Fulin Precision Machining Co Ltd Class A;Automotive;China;
0FKKTG-E;Fuxin Dare Automotive Parts Co Ltd Class A;Automotive;China;
08M5JM-E;Nanjing Aolian AE & EA Co Ltd Class A;Automotive;China;
0GZVG5-E;HangZhou Radical Energy Saving Technology Co Ltd Class A;Automotive;China;
0G6HKR-E;Wuxi Longsheng Technology Co Ltd Class A;Automotive;China;
0D1ZTG-E;Wuxi Lihu Corp Ltd Class A;Automotive;China;
0BSKXN-E;Zhejiang ZhaoFeng Mechanical & Electric Co Ltd Class A;Automotive;China;
0JB2JF-E;Nanjing YueBoo Power System Co Ltd Class A;Automotive;China;
05HZX8-E;Toyota Boshoku Corp;Automotive;Japan;
06VHJV-E;Mitsuchi Corporation;Automotive;Japan;
05J433-E;Ashimori Industry Co Ltd;Automotive;Japan;
06TF41-E;Tung Thih Electronic Co Ltd;Automotive;Taiwan;
05J3MX-E;Kyowa Leather Cloth Co Ltd;Automotive;Japan;
